Data File,Model,EB,CTX,PDT,Success,Error Message,csv_size,bin_size,compressed_size,sz3_size,zstd_size,is_accurate,compression_time_sz3,compression_time_zstd,compression_time_debug,decompression_time,zstd_error_size,df_entropy,df_min,df_max,df_mean,df_variance,error_entropy,error_min,error_max,error_mean,error_variance,mean_absolute_error,mean_squared_error,RRMSE,RMSE,RMAE
smart,0,0.1,128,1,True,,267583,103676,12077,11406,17540,True,0.045043230056762695,0.1384291648864746,310.04747796058655,306.53055596351624,12391,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,2.6995332338880296,-8.3,7.1,0.095308445,0.23002881,0.7114668,0.8417065,0.60623384,0.3675195,0.5772718
smart,0,0.1,256,1,True,,267583,103676,12087,11406,17540,True,0.08157634735107422,0.08404064178466797,328.2264349460602,323.89558720588684,12230,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.6695103672999028,-6.9,8.5,0.09723336,0.22332866,0.70814455,0.8460003,0.59916544,0.35899925,0.573311
smart,0,0.1,512,1,True,,267583,103676,12847,11406,17540,True,0.10014486312866211,0.06470775604248047,322.90121579170227,321.73061633110046,12032,14.629159928648058,0.0008,9.580184,0.80425996,0.4809595,2.644293591470417,-5.9,8.3,0.10506159,0.22337581,0.69928306,0.7993489,0.60199803,0.36240166,0.5717723
smart,0,0.01,128,1,True,,267583,103676,25660,23247,35125,True,0.05486488342285156,0.03885293006896973,302.1834075450897,290.7595064640045,27842,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,5.923591329623935,-8.63,8.81,0.09885891,0.23709482,0.70774615,0.84367704,0.61598676,0.3794397,0.558625
smart,0,0.01,256,1,True,,267583,103676,25737,23247,35125,True,0.05875992774963379,0.054891109466552734,320.3616464138031,316.7230784893036,27530,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,5.889342931353498,-6.91,8.77,0.10699957,0.22423999,0.698247,0.8144235,0.60289365,0.36348078,0.5545883
smart,0,0.01,512,1,True,,267583,103676,26438,23247,35125,True,0.04298901557922363,0.03710675239562988,316.14725255966187,313.6744146347046,27162,14.629159928648058,0.0008,9.580184,0.80425996,0.4809595,5.865439057023711,-6.63,8.77,0.1135817,0.2208647,0.6906782,0.78895646,0.6011651,0.36139947,0.55253255
smart,0,0.001,128,1,True,,267583,103676,37342,44099,53154,True,0.039492130279541016,0.0245511531829834,283.8042118549347,284.78333473205566,45195,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,9.171204076538807,-8.657,8.805,0.09854728,0.23700768,0.7080578,0.84134936,0.6158013,0.37921122,0.5582054
smart,0,0.001,256,1,True,,267583,103676,37557,44099,53154,True,0.06129097938537598,0.03861570358276367,318.6449279785156,317.7007257938385,44832,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,9.140877491802483,-6.915,8.827,0.10731563,0.22528438,0.69793093,0.8116536,0.6043144,0.36519587,0.55429673
smart,0,0.001,512,1,True,,267583,103676,38124,44099,53154,True,0.035282135009765625,0.02457284927368164,317.96269702911377,313.7364239692688,44318,14.629159928648058,0.0008,9.580184,0.80425996,0.4809595,9.11674796385253,-5.931,8.763,0.11510548,0.2218003,0.68915457,0.77871287,0.6028139,0.3633846,0.55300784
smart,0,0.0001,128,1,True,,267583,103676,45764,92776,72227,True,0.050894975662231445,0.02126336097717285,281.59517097473145,279.86794900894165,62711,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,12.168604212198058,-8.6551,8.8237,0.09927195,0.23691109,0.7073331,0.83857024,0.6158596,0.37928307,0.5583262
smart,0,0.0001,256,1,True,,267583,103676,45965,92776,72227,True,0.0873110294342041,0.04250597953796387,321.8773899078369,321.6412510871887,62290,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,12.133652347308804,-6.9159,8.8261,0.106923684,0.22548008,0.69832283,0.8165693,0.6044569,0.36536816,0.55419606
smart,0,0.0001,512,1,True,,267583,103676,46271,92776,72227,True,0.04790163040161133,0.03510856628417969,340.84702944755554,325.10997319221497,61713,14.629159928648058,0.0008,9.580184,0.80425996,0.4809595,12.120589281137047,-5.9315,8.7639,0.114875235,0.22191557,0.6893847,0.7795291,0.6028938,0.36348096,0.5530352
smart,0,1e-05,128,1,True,,267583,103676,54949,92776,86154,True,0.05550980567932129,0.018121957778930664,301.8283579349518,294.3529648780823,86171,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,14.109144808516108,-8.65533,8.82375,0.09943546,0.23780069,0.7071696,0.83768404,0.6170092,0.38070038,0.5584289
smart,0,1e-05,256,1,True,,267583,103676,55035,92776,86154,True,0.10047459602355957,0.027654409408569336,324.7921748161316,319.87649416923523,85700,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.097922566449414,-6.91583,8.82617,0.10714139,0.22615306,0.69810516,0.8152927,0.6053742,0.3664779,0.55428547
smart,0,1e-05,512,1,True,,267583,103676,55271,92776,86154,True,0.05352950096130371,0.018174171447753906,326.57587146759033,311.95966267585754,84583,14.629159928648058,0.0008,9.580184,0.80425996,0.4809595,14.065321532235428,-5.93165,8.76393,0.11474229,0.22134702,0.6895177,0.7800181,0.6021253,0.36255485,0.55279696
smart,0,1e-06,128,1,True,,267583,103676,76447,92776,92640,True,0.05962514877319336,0.012624025344848633,288.12782406806946,279.43938088417053,95943,14.650625223709525,0.0008,9.580184,0.80660504,0.47718915,14.593537756665162,-8.655339,8.823753,0.09909083,0.2375724,0.7075142,0.8412281,0.61663955,0.3802443,0.5584031
smart,0,1e-06,256,1,True,,267583,103676,75638,92776,92640,True,0.09595632553100586,0.023154020309448242,316.1111035346985,314.7858576774597,95408,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.582352823856521,-6.915835,8.826177,0.107110254,0.22614928,0.69813627,0.8153859,0.60536087,0.3664618,0.5542624
smart,0,1e-06,512,1,True,,267583,103676,76226,92776,92640,True,0.05915045738220215,0.012826919555664062,312.04327845573425,308.9921486377716,94353,14.629159928648058,0.0008,9.580184,0.80425996,0.4809595,14.56618054107566,-5.931645,8.763923,0.11490867,0.22167757,0.68935126,0.77901,0.6025985,0.36312494,0.5528712
sceaux,0,0.1,128,1,True,,328246,136892,19474,15604,24613,True,0.03780031204223633,0.08512377738952637,370.192245721817,374.13872838020325,19911,14.456343488334584,0.124,6.560533,1.08234,0.786874,3.3804182214111673,-4.3,5.1,0.20622084,0.41483003,0.8761192,1.3013505,0.62483305,0.39041635,0.63533145
sceaux,0,0.1,256,1,True,,328246,136892,19705,15604,24613,True,0.12206602096557617,0.1572129726409912,423.31763219833374,419.64473390579224,19702,14.452341468982544,0.124,6.560533,1.0811175,0.7849844,3.3428528382217317,-4.5,4.7,0.19456825,0.39692953,0.88654935,1.3203785,0.60990906,0.37198904,0.62756634
sceaux,0,0.1,512,1,True,,328246,136892,20419,15604,24613,True,0.04881763458251953,0.0779716968536377,414.87098598480225,408.3856179714203,19463,14.443396432695087,0.124,6.560533,1.0765673,0.7766313,3.31841633516581,-4.3,4.3,0.18270892,0.3825763,0.89385843,1.3352959,0.5990789,0.35889554,0.623249
