Data File,Model,EB,CTX,PDT,Success,Error Message,csv_size,bin_size,compressed_size,sz3_size,zstd_size,is_accurate,compression_time_sz3,compression_time_zstd,compression_time_debug,decompression_time,zstd_error_size,df_entropy,df_min,df_max,df_mean,df_variance,error_entropy,error_min,error_max,error_mean,error_variance,mean_absolute_error,mean_squared_error,RRMSE,RMSE,RMAE
smart,0,0.0001,16,1,True,,267583,103676,45927,92776,72227,,0.06693243980407715,0.05366969108581543,270.80129528045654,0,63937,14.656893807491564,0.0008,9.580184,0.80956334,0.478717,12.30042007926191,-7.2411,8.5829,0.0518023,0.23855649,0.75776106,0.9941042,0.6066997,0.36808452,0.5761226
smart,0,0.0001,16,2,True,,267583,103676,46529,92776,72227,,0.06929945945739746,0.03182864189147949,208.00758600234985,0,65401,14.656893807491564,0.0008,9.580184,0.80956334,0.478717,12.488656071635715,-8.2797,8.6437,0.063523516,0.3173988,0.74603987,0.97016406,0.70031774,0.4904449,0.6251243
smart,0,0.0001,16,4,True,,267583,103676,47222,92776,72227,,0.08777165412902832,0.03258109092712402,181.50555610656738,0,67090,14.656893807491564,0.0008,9.580184,0.80956334,0.478717,12.70973463361297,-8.8315,8.6533,0.06585747,0.44250697,0.7437059,0.98467726,0.82570934,0.68179595,0.68510413
smart,0,0.0001,16,8,True,,267583,103676,47940,92776,72227,,0.09561872482299805,0.030710935592651367,170.875257730484,0,68653,14.656893807491564,0.0008,9.580184,0.80956334,0.478717,12.961319993468505,-8.9245,8.6533,0.04800822,0.57667255,0.76155514,1.036524,0.93989635,0.88340515,0.7545326
smart,0,0.0001,16,16,True,,267583,103676,47666,92776,72227,,0.08050537109375,0.03435039520263672,158.58612275123596,0,67994,14.656893807491564,0.0008,9.580184,0.80956334,0.478717,12.863948796874764,-8.1381,8.6533,0.08537003,0.56053984,0.72419333,0.88416636,0.93080246,0.8663932,0.7337797
smart,0,0.0001,32,1,True,,267583,103676,45682,92776,72227,,0.06815886497497559,0.03455758094787598,266.4113826751709,0,63340,14.655999961376697,0.0008,9.580184,0.80901307,0.47826597,12.217596360359526,-5.8293,7.0365,0.077873155,0.22263736,0.73114,0.91003466,0.59112465,0.34942833,0.56115496
smart,0,0.0001,32,2,True,,267583,103676,46120,92776,72227,,0.08816194534301758,0.04418349266052246,207.84644627571106,0,64478,14.655999961376697,0.0008,9.580184,0.80901307,0.47826597,12.354556611284607,-5.9787,8.4997,0.09572257,0.2783134,0.7132906,0.860986,0.6627434,0.4392288,0.59624344
smart,0,0.0001,32,4,True,,267583,103676,46572,92776,72227,,0.07071876525878906,0.031403303146362305,179.34106421470642,0,65414,14.655999961376697,0.0008,9.580184,0.80901307,0.47826597,12.489469837123805,-7.6145,8.7773,0.10534518,0.35591415,0.703668,0.85010487,0.74883217,0.5607496,0.63383704
smart,0,0.0001,32,8,True,,267583,103676,47132,92776,72227,,0.07059359550476074,0.03471088409423828,166.4283094406128,0,66632,14.655999961376697,0.0008,9.580184,0.80901307,0.47826597,12.665749741847018,-8.5371,8.5781,0.111269645,0.44739163,0.6977436,0.871106,0.8381389,0.7024768,0.6810337
smart,0,0.0001,32,16,True,,267583,103676,47126,92776,72227,,0.07634878158569336,0.033307552337646484,158.3527979850769,0,66658,14.655999961376697,0.0008,9.580184,0.80901307,0.47826597,12.677451536971127,-7.6145,8.9457,0.1334401,0.4711624,0.675573,0.76488215,0.8643407,0.74708486,0.68808186
