Data File,Model,EB,CTX,PDT,Success,Error Message,csv_size,bin_size,compressed_size,sz3_size,zstd_size,is_accurate,compression_time_sz3,compression_time_zstd,compression_time_debug,decompression_time,zstd_error_size,df_entropy,df_min,df_max,df_mean,df_variance,error_entropy,error_min,error_max,error_mean,error_variance,mean_absolute_error,mean_squared_error,RRMSE,RMSE,RMAE
smart,0,0.1,256,1,True,,267583,103676,1481,773,995,skipped,0.06989431381225586,0.005006551742553711,9.557251930236816,0,545,9.584962500721158,0.051360834,4.271576,1.0785027,0.32828236,2.7849627081632775,-1.9,1.9,0.0703125,0.14297281,1.0082377,1.2500491,0.3566049,0.12716706,0.50063646
smart,0,0.01,256,1,True,,267583,103676,1938,2343,1933,skipped,0.0511474609375,0.0009546279907226562,9.340732336044312,0,1214,9.584962500721158,0.051360834,4.271576,1.0785027,0.32828236,5.912308405458736,-1.93,1.97,0.073437504,0.14056422,1.0050652,1.2378362,0.35423517,0.12548256,0.48624983
smart,0,0.001,256,1,True,,267583,103676,2156,3804,2889,skipped,0.07696199417114258,0.0006556510925292969,9.733216762542725,0,2073,9.584962500721158,0.051360834,4.271576,1.0785027,0.32828236,8.450858047344447,-1.971,1.975,0.07522135,0.1398068,1.0032812,1.2333337,0.35363737,0.12505938,0.48593938
smart,0,0.0001,256,1,True,,267583,103676,2421,3804,3464,skipped,0.05823206901550293,0.0005235671997070312,9.563411235809326,0,2780,9.584962500721158,0.051360834,4.271576,1.0785027,0.32828236,9.416968294980723,-1.9237,1.9755,0.075303905,0.14017272,1.0031987,1.2320584,0.35409695,0.12538464,0.48567322
smart,0,1e-05,256,1,True,,267583,103676,2723,3804,3627,skipped,0.06915044784545898,0.0005245208740234375,9.550768852233887,0,2913,9.584962500721158,0.051360834,4.271576,1.0785027,0.32828236,9.577150000721158,-1.92377,1.97551,0.07575411,0.13977565,1.0027486,1.2307085,0.35369724,0.12510173,0.48540097
smart,0,1e-06,256,1,True,,267583,103676,3503,3804,3637,skipped,0.05789899826049805,0.00046515464782714844,9.610049486160278,0,2914,9.584962500721158,0.051360834,4.271576,1.0785027,0.32828236,9.584962500721158,-1.923779,1.975509,0.07538508,0.13967071,1.0031177,1.2315758,0.3535019,0.124963574,0.48498693
sceaux,0,0.1,256,1,True,,328246,136892,1664,974,1156,skipped,0.04131197929382324,0.001508474349975586,9.21877384185791,0,714,9.577150000721158,0.244,6.0765667,1.6107645,1.2620443,3.7650546258514908,-3.1,3.3,0.18177085,0.562376,1.4289938,2.9991186,0.47904736,0.22948636,0.57597953
sceaux,0,0.01,256,1,True,,328246,136892,2045,2564,2083,skipped,0.05281472206115723,0.0008616447448730469,9.525479555130005,0,1403,9.577150000721158,0.244,6.0765667,1.6107645,1.2620443,6.6860384630602745,-3.21,3.09,0.1840625,0.5658012,1.426702,2.981465,0.48075944,0.23112963,0.56729686
sceaux,0,0.001,256,1,True,,328246,136892,2283,3882,3074,skipped,0.05725526809692383,0.0006914138793945312,9.52203369140625,0,2326,9.577150000721158,0.244,6.0765667,1.6107645,1.2620443,8.804770915903648,-3.215,3.211,0.1825651,0.5669475,1.4281994,2.9891148,0.4809988,0.23135985,0.5667708
sceaux,0,0.0001,256,1,True,,328246,136892,2519,3882,3611,skipped,0.04242205619812012,0.00048613548278808594,9.651493787765503,0,2859,9.577150000721158,0.244,6.0765667,1.6107645,1.2620443,9.487280794980723,-3.2153,3.2105,0.1822776,0.5695912,1.428487,2.9859028,0.4820149,0.23233835,0.5678413
sceaux,0,1e-05,256,1,True,,328246,136892,3041,3882,3720,skipped,0.0889580249786377,0.0007939338684082031,9.452269315719604,0,2933,9.577150000721158,0.244,6.0765667,1.6107645,1.2620443,9.574545834054492,-3.21527,3.21059,0.18227719,0.5696319,1.4284873,2.984951,0.4820311,0.232354,0.5676214
sceaux,0,1e-06,256,1,True,,328246,136892,3585,3882,3718,skipped,0.10856771469116211,0.0010647773742675781,9.451098442077637,0,2934,9.577150000721158,0.244,6.0765667,1.6107645,1.2620443,9.584962500721158,-3.215269,3.210583,0.18182574,0.5696201,1.4289389,2.9862854,0.48196062,0.23228605,0.5675764
LOOP_SEATTLE,0,0.1,256,1,True,,1003466,420480,1704,1295,1357,skipped,0.05732417106628418,0.0013382434844970703,9.469916820526123,0,917,9.584962500721158,48.775215,66.7067,60.991238,7.2561283,4.915856359938665,-7.9,5.3,-0.023177087,2.5890462,61.014416,3728.4006,0.026384417,0.0006961375,0.13839816
LOOP_SEATTLE,0,0.01,256,1,True,,1003466,420480,2027,3567,2030,skipped,0.06409764289855957,0.0009024143218994141,9.4844491481781,0,1696,9.584962500721158,48.775215,66.7067,60.991238,7.2561283,7.828723443383291,-7.89,5.59,-0.024088537,2.584596,61.015324,3728.5176,0.026361955,0.0006949527,0.13801971
LOOP_SEATTLE,0,0.001,256,1,True,,1003466,420480,2256,3567,2839,skipped,0.05340886116027832,0.0006401538848876953,9.59348177909851,0,2538,9.584962500721158,48.775215,66.7067,60.991238,7.2561283,9.290934457064745,-7.885,5.589,-0.024145827,2.5832808,61.01538,3728.5234,0.026355265,0.00069459993,0.13795179
LOOP_SEATTLE,0,0.0001,256,1,True,,1003466,420480,2482,3567,3366,skipped,0.06943440437316895,0.0005328655242919922,9.47926139831543,0,2865,9.584962500721158,48.775215,66.7067,60.991238,7.2561283,9.556316667387824,-7.8847,5.5887,-0.02413099,2.580835,61.01537,3728.5208,0.026342781,0.00069394213,0.13789748
